Local/Regional government,Country,Project/Initiative,Featured in,Source,Link
Buenos Aires,Argentina,"Road Safety Plan
-  Artificial intelligence for incident classification
- Automated data processing and predictive analytics
- Integration with healthcare and emergency response systems 
- Infrastructure and behavioral interventions ",SDG Local Solutions series: Traffic Management Policies: Experiences From Istanbul And Buenos Aires ,https://sdglocalaction.org/traffic-management-policies/,
Cordoba,Argentina,"Pilot experience
Community distributed generation",SDG Local Solutions series: Entering Carbon Markets: The Cases Of Cordoba Province and The City Of Freetown,https://sdglocalaction.org/entering-carbon-markets/,
Cordoba,Argentina,MÍA Methodology,Stories,https://sdglocalaction.org/cordobas-mia-methodology/,https://sdglocalaction.org/wp-content/uploads/2023/12/MIA-2030-1.pdf
Cordoba,Argentina,Voluntary Local Report,Stories,https://sdglocalaction.org/voluntary-local-review-cordoba-argentina/,https://sdglocalaction.org/wp-content/uploads/2023/12/Voluntary-Local-Report-Cordoba-ARG-2023-ENGLISH-VERSION-.pdf
Córdoba,Argentina,Aprendo Program,Stories,https://sdglocalaction.org/aprendo-cordoba-city/,https://cordoba.gob.ar/
Córdoba,Argentina,"Institutionalised urban art through municipal cultural policy
Citywide festival circuit
Inclusive platforms for women and youth artists
Cultural tourism with technology",SDG Local Solutions series: The role of urban art for inclusive and sustainable cities,https://sdglocalaction.org/urban-art-inclusive-cities-2/,
Rosario,Argentina,Programa Producción Sustentable de Alimentos (Cinturón Verde),SDG Local Solutions series: Agroecological food production in urban and periurban areas,https://sdglocalaction.org/urban-agroecology-solutions/,https://www.rosario.gob.ar/inicio/produccion-sustentable-de-alimentos-cinturon-verde
Yerevan,Armenia,Green Seal-Green Deal initiative,Stories,https://sdglocalaction.org/yerevans-green-seal-green-deal/,https://www.yerevan.am/en/open-government-partnership-local-opg/
Merri-bek City,Australia,Merri-bek City Food System Strategy 2024-2027,Stories,https://sdglocalaction.org/merri-beks-food-system-strategy/,https://www.merri-bek.vic.gov.au/globalassets/website-merri-bek/areas/my-council/strategies-policies-and-collected-data/policies-and-strategies/food-systems---food-system-strategy-2024-2027-final.pdf
Vienna,Austria,Supergrätzl,Stories,https://sdglocalaction.org/viennas-supergratzl/,https://www.wien.gv.at/stadtplanung/supergraetzl-favoriten
Bridgetown,Barbados,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Bridgetown%20Barbados_HQP.pdf
Various cities,Belgium,Sustainable Municipality Week,Stories,https://sdglocalaction.org/sustainable-municipality-week/,https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.duurzamegemeente.be%2F&data=05%7C01%7Chawa.barrie%40undp.org%7Cc25ea764929c46ffe27808db9ff5bf5f%7Cb3e5db5e2944483799f57488ace54319%7C0%7C0%7C638279650461005686%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=hHW1ZY%2B%2BDzVKpvsKE49a9EVW4jF0yO1UnKJp9Tf6f5E%3D&reserved=0
Belize City,Belize,Urban Sustainability and Smart City Project,Stories,https://sdglocalaction.org/belize-smart-city/,https://www.belizecitycouncil.org/news.php?news_id=276
Belize City,Belize,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Belize%20City%20Belize_HQP.pdf
São Paulo,Brazil,Partial Subvention Model,SDG Local Solutions series: Local Government Financing Dialogues: Experiences and Innovative Solutions ,https://sdglocalaction.org/local-financing-dialogues/,https://www.c40knowledgehub.org/s/article/Financing-e-buses-in-Sao-Paulo-the-partial-subvention-model?language=en_US
Porto Alegre,Brazil,Environmental Racism and Climate Injustice: The Role of Cities in Tackling Climate Change and in Fighting Socioterritorial Inequalities,Stories,https://sdglocalaction.org/climate-injustice-brazil/,https://polis.org.br/racismo-ambiental-clima/
São Paulo,Brazil,Environmental Racism and Climate Injustice: The Role of Cities in Tackling Climate Change and in Fighting Socioterritorial Inequalities,Stories,https://sdglocalaction.org/climate-injustice-brazil/,https://polis.org.br/racismo-ambiental-clima/
Recife,Brazil,Environmental Racism and Climate Injustice: The Role of Cities in Tackling Climate Change and in Fighting Socioterritorial Inequalities,Stories,https://sdglocalaction.org/climate-injustice-brazil/,https://polis.org.br/racismo-ambiental-clima/
Belém,Brazil,Environmental Racism and Climate Injustice: The Role of Cities in Tackling Climate Change and in Fighting Socioterritorial Inequalities,Stories,https://sdglocalaction.org/climate-injustice-brazil/,https://polis.org.br/racismo-ambiental-clima/
Belo Horizonte,Brazil,Municipal policy for urban agriculture and agroecology,SDG Local Solutions series: Agroecological food production in urban and periurban areas,https://sdglocalaction.org/urban-agroecology-solutions/,
Toronto,Canada,Digital Infrastructure Strategic Framework,Stories,https://sdglocalaction.org/toronto-digital-infrastructure-strategic-framework/,https://www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/connected-community/digital-infrastructure-strategic-framework/
Xi'an,China,SDG City Tales,Stories,https://sdglocalaction.org/sdg-city-tales/,
Hong Kong Special Administrative Region,China,Well-being Design Guide,Stories,https://sdglocalaction.org/hong-kong-well-being-design-guide-housing/,https://housingwellbeing.hk/en/design-guide/
/,Colombia,Alert for My Environment,Stories,https://sdglocalaction.org/colombia-open-government-environment/,
Bogota,Colombia,The Bogota Care System Model,SDG Local Solutions series: Lessons Learnt From Bogota Caring City Project,https://sdglocalaction.org/bogota-guidelines-presentation/,https://sdglocalaction.org/wp-content/uploads/2025/01/ENG_Bogota-guidelines.pdf
Bogota,Colombia,Home Assistance Program,SDG Local Solutions series: Creating Caring Communities: Lessons From Geneva and Bogota,https://sdglocalaction.org/creating-caring-communities/,"https://sdglocalaction.org/bogota-caring-city/#:~:text=The%20Home%20Assistance%20Program%20offers,with%20disabilities%2C%20promoting%20their%20autonomy."
City of Prague,Czechia,Golemio,SDG Local Solutions series: Using Data Platforms for Local Decision-Making,https://sdglocalaction.org/using-data-platforms-for-local-decision-making-2/,https://golemio.cz/english
Copenhagen,Denmark,Copenhagen Cloudburst planning,SDG Local Solutions series: Fighting Urban Flooding: Lessons From Copenhagen and Hoboken ,https://sdglocalaction.org/tackling-urban-flooding/,
Roseau,Dominican Rep.,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20%20roseau%20dominica_hqp.pdf
Las Terrenas,Dominican Rep.,Empowering local suppliers and ensure equitable participation,Stories,https://sdglocalaction.org/public-procurement-sustainability/,
